turker_id,time,distance_between_targets,question_index,sizediff,accuracy,clicked_x,clicked_y,index_of_difficulty
Milena Silva,1.645,500,13,1,0,-50.4753,-244.763,4.07776
Hiro,1.468,400,17,3,1,134.027,-148.391,3.33092
Milena Silva,1.645,500,13,1,0,-50.4753,-244.763,4.07776
Rob,1.437,500,7,3,1,-90.3468,233.303,4.00701
Milena Silva,1.645,500,13,1,0,-50.4753,-244.763,4.07776
Rob,1.296,500,8,1,1,76.7811,-237.824,4.03628
Hiro,5.73,400,18,1,0,28.3703,198.226,3.74659
Rob,1.342,300,9,1,0,-47.336,-142.335,3.29517
Rob,1.117,300,10,3,0,67.4102,-133.679,3.2074
Hiro,1.193,100,19,2,1,6.15005,-49.344,1.75009
Rob,1.535,100,11,3,1,-34.2889,36.9695,1.33813
Hiro,1.646,600,20,2,1,93.457,285.252,4.27263
Rob,2.128,400,12,3,1,189.095,63.6219,2.78514
Hiro,1.933,500,21,1,0,-111.068,224.229,3.92486
Rob,0.987,100,13,2,1,-33.9215,-37.3494,1.35198
Hiro,1.854,300,22,1,0,131.033,-72.738,2.30326
Rob,1.206,400,14,2,0,182.688,-79.3648,2.73779
Rob,1.542,500,15,3,1,-2.25775,-249.99,4.10774
Hiro,2.662,400,23,2,1,-75.9751,184.972,3.64876
Rob,0.951,200,16,3,0,74.8568,-65.6564,2.18509
Hiro,1.488,600,24,3,1,-135.437,-267.644,4.18172
Rob,1.026,100,17,3,0,-24.5328,-43.9392,1.59014
Rob,1.48,400,18,3,0,-111.491,-166.6,3.51892
Hiro,2.742,600,25,2,1,-36.363,297.778,4.3355
Rob,1.173,400,19,3,0,57.529,-191.479,3.72353
Hiro,1.318,500,26,3,1,241.264,66.63,2.50364
Rob,1.744,200,20,1,1,-41.9019,90.8804,2.64683
Rob,1.184,500,21,2,1,130.076,-213.495,3.88008
Hiro,2.727,200,27,1,0,-50.846,86.483,2.54706
Rob,1.054,500,22,2,0,145.563,-202.949,3.80841
Hiro,1.657,500,28,3,1,239.079,-72.877,2.49257
Rob,1.247,600,23,3,0,197.555,-225.551,3.96012
Rob,1.929,200,24,1,0,14.8148,-98.8694,2.76986
Hiro,1.591,200,29,3,1,-72.1311,-69.171,2.23035
Rob,1.31,600,25,2,1,-261.496,-147.66,3.34668
Hiro,1.602,600,30,1,1,23.702,299.295,4.34167
Rob,1.223,500,26,1,0,83.668,-235.5,4.02206
Hiro,1.618,300,31,3,1,-134.56,-66.11,2.16489
Rob,1.273,600,27,2,0,-75.8732,-290.359,4.32319
Rob,1.225,300,28,3,1,-13.8406,149.392,3.36467
